"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB TITLE","PDB ID","PDB CRYST1 a","PDB CRYST1 b","PDB CRYST1 c","PDB CRYST1 alpha","PDB CRYST1 beta","PDB CRYST1 gamma","PDB CRYST1 Space Group","PDB CRYST1 z","PDB CLASSIFICATION","PDB DEPOSITION DATE","PDB format version","PDB R","PDB Rfree","PDB RESOLUTION","PDB EXPDTA","PDB EXPDTA TEMPERATURE","PDB EXPDTA PH","PDB REMARK 350 Biomolecule 1 Transform 1 Chains","PDB REMARK 350 Biomolecule 1 Transform 1 Matrix 1","Source Path","Source File","Source File Index","prepared","prepared with version","created disulfur","preprocess pH","het states","Job Name","Potential Energy-S-OPLS","RMS Derivative-S-OPLS","Max Derivative-S-OPLS","Stretch Energy-S-OPLS","Bend Energy-S-OPLS","LJ-14 Energy-S-OPLS","El-14 Energy-S-OPLS","Van der Waals Energy-S-OPLS","Electrostatic Energy-S-OPLS","Dihedral Energy-S-OPLS","target temperature","OPENEYE_ISO_SMILES","OPENEYE_INCHI","OPENEYE_INCHIKEY","FORMULA","chiral flag","version","source file","source file index","mmshare version","input","cmdline","tautomer probability","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","flags","Force Field","Energy","Chiralities Consistent","Variant","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","grid type","receptor","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","glide gscore","glide lipo","glide hbond","glide metal","glide rewards","glide evdw","glide ecoul","glide erotb","glide esite","glide emodel","glide energy","glide einternal","glide confnum","glide posenum","glide eff state penalty","XP GScore","XP HBond","XP PoseRank","Mark","PDB REMARK 350 Biomolecule 2 Transform 1 Chains","PDB REMARK 350 Biomolecule 2 Transform 1 Matrix 1"
,"2RGP - prepared","35","2rgp.1","17 Nov 12:08","17 Nov 12:57","STRUCTURE OF EGFR IN COMPLEX WITH HYDRAZONE, A POTENT DUAL INHIBITOR","2RGP",45.850,68.030,103.860,90.000,90.000,90.000,"P 21 21 21",4,"TRANSFERASE","04-OCT-07","3.30",0.228,0.268,2.000,"X-RAY DIFFRACTION",200.000,9.000,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",-7355.846,0.074,2.379,12.507,251.790,454.042,-325.568,-525.103,-7295.682,72.168,298.000,"","","","",,,"",,,"","",,,,,,,,,,"",,,"",100125,16.795,34.517,91.289,27.885,27.885,27.885,10.000,10.000,10.000,"glide",true,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"IRE - gefitinib","36","IRE_model.1","17 Nov 12:08","17 Nov 12:49","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1968,0.0000,0.1968,0.1963,0.196,0,0,0,"S-OPLS",41.091,true,"IRE - gefitinib-1",,,,,,,,,,,"",,"glide-grid_3",2,8,-9.412,-0.304,-0.954,-2.123,-9.608,-4.618,-0.221,0.000,-1.927,-55.251,-4.538,0.601,0.000,-89.054,-59.789,11.920,1,59,0.196,,,,,"",""
,"IRE - gefitinib","37","IRE_model.1","17 Nov 12:08","17 Nov 13:20","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.7505,0.7500,0.0005,0.7500,1.500,1,1,0,"S-OPLS",48.598,true,"IRE - gefitinib-2",,,,,,,,,,,"",,"glide-grid_3",1,8,-9.055,-0.292,-0.918,-2.042,-9.805,-4.050,-0.445,0.000,-2.005,-55.009,-7.449,0.599,-0.037,-93.169,-62.458,17.704,77,25,0.750,,,,,"",""
,"IRE - gefitinib","38","IRE_model.1","17 Nov 12:08","17 Nov 12:48","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1968,0.0000,0.1968,0.1963,0.196,0,0,0,"S-OPLS",41.091,true,"IRE - gefitinib-1",,,,,,,,,,,"",,"glide-grid_3",2,8,-9.031,-0.291,-0.915,-2.037,-9.228,-4.002,-0.421,0.000,-1.912,-56.352,-4.510,0.601,0.000,-91.569,-60.862,6.245,7,296,0.196,,,,,"",""
,"IRE - gefitinib","39","IRE_model.1","17 Nov 12:08","17 Nov 12:48","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.7505,0.7500,0.0005,0.7500,1.500,1,1,0,"S-OPLS",48.598,true,"IRE - gefitinib-2",,,,,,,,,,,"",,"glide-grid_3",1,8,-8.935,-0.288,-0.905,-2.015,-9.685,-3.912,-0.483,0.000,-1.922,-51.442,-8.633,0.599,-0.100,-94.527,-60.075,9.248,46,385,0.750,,,,,"",""
,"IRE - gefitinib","40","IRE_model.1","17 Nov 12:08","17 Nov 12:48","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.7505,0.7500,0.0005,0.7500,1.500,1,1,0,"S-OPLS",48.598,true,"IRE - gefitinib-2",,,,,,,,,,,"",,"glide-grid_3",1,8,-8.706,-0.281,-0.882,-1.963,-9.456,-3.919,-0.421,0.000,-1.914,-55.646,-6.555,0.599,-0.036,-93.367,-62.201,13.974,77,387,0.750,,,,,"",""
,"IRE - gefitinib","41","IRE_model.1","17 Nov 12:08","17 Nov 12:49","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.7505,0.7500,0.0005,0.7500,1.500,1,1,0,"S-OPLS",48.598,true,"IRE - gefitinib-2",,,,,,,,,,,"",,"glide-grid_3",1,8,-8.696,-0.281,-0.881,-1.961,-9.446,-3.851,-0.434,0.000,-1.924,-52.109,-7.612,0.599,-0.089,-94.158,-59.720,7.348,58,396,0.750,,,,,"",""
,"IRE - gefitinib","42","IRE_model.1","17 Nov 12:08","17 Nov 12:49","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1968,0.0000,0.1968,0.1963,0.196,0,0,0,"S-OPLS",41.091,true,"IRE - gefitinib-1",,,,,,,,,,,"",,"glide-grid_3",2,8,-8.336,-0.269,-0.845,-1.880,-8.532,-3.964,0.000,0.000,-2.012,-55.176,-2.658,0.601,0.000,-83.388,-57.833,11.450,131,349,0.196,,,,,"",""
,"IRE - gefitinib","43","IRE_model.1","17 Nov 12:08","17 Nov 12:08","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1968,0.0000,0.1968,0.1963,0.196,0,0,0,"S-OPLS",41.091,true,"IRE - gefitinib-1",,,,,,,,,,,"",,"glide-grid_3",2,8,-7.818,-0.252,-0.792,-1.763,-8.014,-3.841,-0.132,0.000,-1.410,-53.693,-3.655,0.601,0.000,-84.553,-57.348,4.353,7,79,0.196,,,,,"",""
,"IRE - gefitinib","44","IRE_model.1","17 Nov 12:08","17 Nov 12:08","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1968,0.0000,0.1968,0.1963,0.196,0,0,0,"S-OPLS",41.091,true,"IRE - gefitinib-1",,,,,,,,,,,"",,"glide-grid_3",2,8,-5.646,-0.182,-0.572,-1.273,-5.842,-2.741,-0.160,0.000,-0.544,-54.440,-1.844,0.601,0.000,-73.431,-56.284,8.543,138,224,0.196,,,,,"",""
,"2RGP - prepared","54","2rgp.1","17 Nov 13:17","17 Nov 13:44","STRUCTURE OF EGFR IN COMPLEX WITH HYDRAZONE, A POTENT DUAL INHIBITOR","2RGP",45.850,68.030,103.860,90.000,90.000,90.000,"P 21 21 21",4,"TRANSFERASE","04-OCT-07","3.30",0.228,0.268,2.000,"X-RAY DIFFRACTION",200.000,9.000,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","/Users/vishnu/glide-dock_XP_IRE_scaled","glide-dock_XP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_XP_IRE_scaled",-7355.846,0.074,2.379,12.507,251.790,454.042,-325.568,-525.103,-7295.682,72.168,298.000,"","","","",,,"",,,"","",,,,,,,,,,"",,,"",100125,16.795,34.517,91.289,27.885,27.885,27.885,10.000,10.000,10.000,"glide",true,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"IRE - gefitinib","55","IRE_model.1","17 Nov 13:17","17 Nov 13:44","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_XP_IRE_scaled","glide-dock_XP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_XP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1968,0.0000,0.1968,0.1963,0.196,0,0,0,"S-OPLS",41.091,true,"IRE - gefitinib-1",,,,,,,,,,,"",,"glide-grid_3",1,8,-9.638,-0.311,-0.977,-2.174,-9.835,,,,,-52.193,-5.642,,,-89.201,-57.835,9.812,1,2,0.196,-9.835,-0.628,1,,"",""
,"IRE - gefitinib","56","IRE_model.1","17 Nov 13:17","17 Nov 13:19","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_XP_IRE_scaled","glide-dock_XP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_XP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1968,0.0000,0.1968,0.1963,0.196,0,0,0,"S-OPLS",41.091,true,"IRE - gefitinib-1",,,,,,,,,,,"",,"glide-grid_3",1,8,-9.475,-0.306,-0.960,-2.137,-9.672,,,,,-55.362,-4.563,,,-88.022,-59.925,11.621,1,6,0.196,-9.672,-0.628,2,,"",""
,"IRE - gefitinib","57","IRE_model.1","17 Nov 13:17","17 Nov 13:19","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_XP_IRE_scaled","glide-dock_XP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_XP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.7505,0.7500,0.0005,0.7500,1.500,1,1,0,"S-OPLS",48.598,true,"IRE - gefitinib-2",,,,,,,,,,,"",,"glide-grid_3",2,8,-9.086,-0.293,-0.921,-2.049,-9.836,,,,,-51.443,-8.495,,,-92.245,-59.939,3.723,1,7,0.750,-9.836,-1.108,1,,"",""
,"IRE - gefitinib","58","IRE_model.1","17 Nov 13:17","17 Nov 13:17","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_XP_IRE_scaled","glide-dock_XP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_XP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.7505,0.7500,0.0005,0.7500,1.500,1,1,0,"S-OPLS",48.598,true,"IRE - gefitinib-2",,,,,,,,,,,"",,"glide-grid_3",2,8,-8.887,-0.287,-0.901,-2.004,-9.637,,,,,-47.831,-8.363,,,-89.297,-56.194,5.606,1,10,0.750,-9.637,-1.108,2,,"",""
